Applicant ID,Name,Education,Work Experience (Years),Skills,Certifications,Resume Keywords,Job Title,Required Skills,Experience Level Required,Industry Terms,Interview Score,Hiring Decision,Recruiter Notes
8558,Sarah Johnson,PhD,11,"Data Analysis, SQL, Java",AWS Certified,"DevOps, AWS Certified, Big Data",Project Manager,"Python, Project Management",Senior-level,Agile,2,Not Hired,Excellent technical skills
5267,Emily Davis,Bachelor's,20,"Project Management, Machine Learning, Data Analysis",,"Certified Data Scientist, Machine Learning, Java, Project Management",Software Engineer,"SQL, Python, Java, Machine Learning",Mid-level,Big Data,8,Hired,Good fit for the team
2422,John Doe,Bachelor's,5,"Excel, Project Management, Leadership, Data Analysis, Machine Learning",Certified Data Scientist,"Leadership, Python, DevOps",Data Scientist,"Python, SQL, Machine Learning, Java",Entry-level,Agile,10,Hired,Needs more experience
2821,Jane Smith,Master's,5,"Project Management, Java, Python, Leadership",Six Sigma Green Belt,"Python, Leadership, Certified Data Scientist, Agile, AWS Certified",Software Engineer,"SQL, Python",Mid-level,Big Data,10,Not Hired,Needs more experience
4586,John Doe,Bachelor's,16,"Python, Project Management, Java, Leadership","AWS Certified, Certified Data Scientist","PMP, Certified Data Scientist, Agile, Java, Cloud Computing, Python",Software Engineer,"SQL, Project Management",Senior-level,Agile,2,Hired,Needs more experience
7029,Michael Brown,Master's,12,"Excel, Data Analysis, Project Management, SQL, Python",,"AWS Certified, Project Management, Leadership, Six Sigma Green Belt",Business Analyst,"Machine Learning, SQL, Java",Mid-level,Agile,2,Not Hired,Strong candidate
3200,John Doe,Master's,5,"Machine Learning, Project Management, SQL",Certified Data Scientist,"DevOps, Data Analysis, Leadership, AWS Certified, Agile",Data Scientist,"SQL, Python",Senior-level,Cloud Computing,4,Hired,Good fit for the team
2392,Sarah Johnson,Bachelor's,10,"Project Management, Excel, SQL, Machine Learning",,"Leadership, AWS Certified, Excel, SQL",Data Scientist,"Python, SQL, Machine Learning, Java",Senior-level,DevOps,1,Not Hired,Strong candidate
5341,Jane Smith,Master's,3,"Java, Machine Learning, Python, Leadership",Certified Data Scientist,"Six Sigma Green Belt, Cloud Computing, Data Analysis, Big Data, PMP",Project Manager,"Project Management, Java, Machine Learning",Senior-level,Big Data,10,Not Hired,Needs more experience
6364,Emily Davis,PhD,8,"SQL, Machine Learning, Project Management, Data Analysis, Excel",,"Agile, Project Management, Six Sigma Green Belt, Machine Learning",Project Manager,"Python, SQL, Project Management, Java",Mid-level,Big Data,5,Hired,Good fit for the team
2442,Sarah Johnson,Bachelor's,12,"Project Management, Java, Leadership",,"Project Management, Leadership, Six Sigma Green Belt, DevOps",Software Engineer,"SQL, Java, Python, Machine Learning",Entry-level,Cloud Computing,1,Not Hired,Excellent technical skills
5873,Jane Smith,Master's,16,"Java, Data Analysis","PMP, Certified Data Scientist","Agile, Data Analysis, Python, Machine Learning",Business Analyst,"SQL, Machine Learning",Senior-level,Big Data,4,Hired,Good fit for the team
8658,Michael Brown,Master's,18,"Project Management, Data Analysis, SQL, Machine Learning","Certified Data Scientist, PMP","PMP, AWS Certified, Cloud Computing, Big Data, Java, Certified Data Scientist",Business Analyst,"Python, Project Management",Senior-level,Cloud Computing,8,Not Hired,Good fit for the team
8901,Chris Lee,Bachelor's,6,"Java, Project Management, SQL, Data Analysis, Excel",Six Sigma Green Belt,"PMP, Leadership, Python, Machine Learning",Software Engineer,"SQL, Java, Python, Machine Learning",Entry-level,Big Data,10,Not Hired,Strong candidate
5950,Chris Lee,Bachelor's,18,"Project Management, Machine Learning, Excel, Data Analysis",PMP,"Agile, DevOps, Excel, Data Analysis, AWS Certified, Project Management",Data Scientist,"Python, Java, Project Management",Mid-level,Big Data,6,Not Hired,Strong candidate
5513,Sarah Johnson,PhD,16,"SQL, Project Management, Data Analysis, Machine Learning, Excel","Certified Data Scientist, PMP","Excel, Cloud Computing, Big Data, Data Analysis, Agile",Business Analyst,"SQL, Project Management, Java, Python",Entry-level,Cloud Computing,6,Not Hired,Excellent technical skills
4897,John Doe,PhD,17,"SQL, Machine Learning, Excel, Project Management, Python",Certified Data Scientist,"Leadership, AWS Certified, Agile, PMP, Cloud Computing",Software Engineer,"SQL, Machine Learning, Python",Entry-level,DevOps,10,Not Hired,Needs more experience
2599,Michael Brown,PhD,18,"Project Management, Java",Certified Data Scientist,"Data Analysis, SQL, Cloud Computing, Machine Learning, Leadership",Data Scientist,"Python, Java",Entry-level,DevOps,5,Not Hired,Excellent technical skills
9482,John Doe,Bachelor's,1,"SQL, Java, Leadership, Python",PMP,"Project Management, Big Data, Python",Project Manager,"Python, SQL, Project Management",Entry-level,Agile,4,Hired,Strong candidate
4738,Michael Brown,PhD,2,"Data Analysis, Machine Learning, SQL","Certified Data Scientist, PMP","Excel, Java, DevOps, Machine Learning, Big Data",Software Engineer,"Project Management, Python, Java",Mid-level,DevOps,7,Hired,Excellent technical skills
2398,John Doe,Bachelor's,16,"Leadership, Python, Project Management, Excel, Machine Learning","Six Sigma Green Belt, AWS Certified","Data Analysis, DevOps, Six Sigma Green Belt, Big Data, SQL, Leadership",Data Scientist,"SQL, Java, Machine Learning",Mid-level,DevOps,7,Hired,Good fit for the team
5040,Michael Brown,PhD,11,"Machine Learning, Leadership, Data Analysis, SQL, Project Management","PMP, Six Sigma Green Belt","Machine Learning, DevOps, AWS Certified, Certified Data Scientist, Java",Software Engineer,"Machine Learning, Project Management, SQL, Python",Entry-level,DevOps,9,Hired,Needs more experience
1485,Sarah Johnson,Bachelor's,4,"Project Management, Machine Learning",Six Sigma Green Belt,"PMP, Agile, Cloud Computing",Software Engineer,"Java, Project Management",Mid-level,Big Data,7,Hired,Needs more experience
2709,Jane Smith,PhD,8,"Python, Excel, Leadership","Certified Data Scientist, AWS Certified","Excel, SQL, Java, DevOps, Machine Learning, Certified Data Scientist",Software Engineer,"Project Management, Machine Learning, Java, SQL",Senior-level,Agile,2,Hired,Strong candidate
5683,John Doe,PhD,1,"Data Analysis, Project Management",,"Project Management, Cloud Computing, Leadership, Six Sigma Green Belt, Python",Data Scientist,"Project Management, Java, Python, Machine Learning",Senior-level,Cloud Computing,10,Hired,Good fit for the team
6876,Emily Davis,PhD,15,"Machine Learning, Excel, Leadership, Python",PMP,"PMP, Java, Leadership, AWS Certified, DevOps, SQL",Business Analyst,"Machine Learning, Python, Project Management, SQL",Mid-level,Cloud Computing,4,Not Hired,Good fit for the team
8174,Chris Lee,Bachelor's,17,"Leadership, Excel",,"Big Data, PMP, Python, Leadership",Data Scientist,"SQL, Python",Senior-level,Agile,3,Not Hired,Excellent technical skills
3046,John Doe,Bachelor's,9,"SQL, Java, Python",,"Java, AWS Certified, Data Analysis, Cloud Computing, Six Sigma Green Belt, Big Data",Data Scientist,"SQL, Project Management, Python, Java",Mid-level,DevOps,5,Hired,Needs more experience
7107,Emily Davis,PhD,11,"Excel, Python","AWS Certified, PMP","Data Analysis, Python, DevOps, Cloud Computing, Java",Business Analyst,"Python, SQL",Senior-level,DevOps,10,Hired,Strong candidate
7391,Emily Davis,Bachelor's,12,"Excel, SQL, Java",,"Machine Learning, Data Analysis, Java, Agile",Data Scientist,"Machine Learning, Java, Python",Entry-level,Big Data,6,Hired,Needs more experience
1588,Sarah Johnson,Master's,8,"Python, Data Analysis, Leadership",,"Certified Data Scientist, Excel, Java",Software Engineer,"Java, Python, Project Management, SQL",Senior-level,Big Data,3,Not Hired,Excellent technical skills
4557,Emily Davis,PhD,5,"Excel, Data Analysis, Machine Learning, Project Management","PMP, Six Sigma Green Belt","Leadership, Python, Machine Learning, Project Management, Certified Data Scientist",Project Manager,"Python, Project Management, Java",Mid-level,Cloud Computing,4,Hired,Strong candidate
9220,Sarah Johnson,PhD,1,"SQL, Java, Python, Machine Learning, Leadership",AWS Certified,"AWS Certified, Six Sigma Green Belt, Agile, Big Data",Data Scientist,"SQL, Project Management, Python",Senior-level,DevOps,6,Not Hired,Strong candidate
9683,Emily Davis,Master's,2,"Machine Learning, Excel","AWS Certified, Six Sigma Green Belt","Agile, Java, PMP, Excel, AWS Certified, Project Management",Software Engineer,"Machine Learning, SQL",Entry-level,Cloud Computing,6,Not Hired,Strong candidate
4342,Emily Davis,PhD,9,"Python, SQL, Project Management, Leadership, Excel",,"Data Analysis, Leadership, Excel",Data Scientist,"Machine Learning, Python",Entry-level,Cloud Computing,9,Not Hired,Strong candidate
3624,Jane Smith,Bachelor's,4,"SQL, Python",AWS Certified,"Project Management, Agile, Machine Learning, Cloud Computing, Java, SQL",Software Engineer,"Python, Machine Learning, Project Management, Java",Mid-level,DevOps,8,Hired,Strong candidate
1875,Jane Smith,Master's,14,"Leadership, Excel, Java",Certified Data Scientist,"Project Management, Excel, Agile",Business Analyst,"Machine Learning, Java, SQL, Project Management",Senior-level,Cloud Computing,3,Hired,Good fit for the team
4021,Emily Davis,Master's,13,"SQL, Java","PMP, Certified Data Scientist","Python, AWS Certified, Machine Learning, Project Management, Data Analysis, PMP",Business Analyst,"Java, Project Management, Machine Learning",Senior-level,Big Data,3,Not Hired,Strong candidate
3736,Emily Davis,Master's,4,"Machine Learning, Java, Python, Data Analysis",,"PMP, Excel, AWS Certified, Six Sigma Green Belt",Data Scientist,"Java, SQL, Python, Machine Learning",Entry-level,DevOps,7,Hired,Good fit for the team
7202,Michael Brown,Master's,9,"Leadership, Project Management","AWS Certified, Six Sigma Green Belt","Data Analysis, Certified Data Scientist, PMP",Business Analyst,"Python, Machine Learning, Java",Mid-level,Cloud Computing,7,Hired,Excellent technical skills
6183,Michael Brown,PhD,4,"Java, Data Analysis, Project Management, Python, Excel",,"Leadership, Cloud Computing, SQL, AWS Certified, Excel, Big Data",Software Engineer,"SQL, Machine Learning, Python",Mid-level,DevOps,1,Not Hired,Strong candidate
2533,Michael Brown,Bachelor's,15,"Excel, Project Management",,"DevOps, Python, Java",Business Analyst,"SQL, Java, Machine Learning, Python",Mid-level,Cloud Computing,1,Not Hired,Needs more experience
7482,Emily Davis,Bachelor's,1,"Data Analysis, Excel, Machine Learning, Java","Certified Data Scientist, PMP","Agile, Excel, AWS Certified, SQL, Six Sigma Green Belt",Project Manager,"Java, Machine Learning",Senior-level,Big Data,5,Not Hired,Excellent technical skills
9993,Emily Davis,PhD,20,"Python, SQL","AWS Certified, Certified Data Scientist","Cloud Computing, DevOps, Agile, PMP",Software Engineer,"SQL, Java",Senior-level,Agile,6,Not Hired,Strong candidate
9885,Emily Davis,Master's,3,"Project Management, Java, Leadership, SQL",Six Sigma Green Belt,"Cloud Computing, Data Analysis, Java",Software Engineer,"Java, Python, Machine Learning",Senior-level,DevOps,3,Hired,Excellent technical skills
7432,Emily Davis,Bachelor's,18,"SQL, Java, Leadership, Data Analysis",Certified Data Scientist,"DevOps, PMP, Machine Learning",Data Scientist,"Python, Java, SQL, Project Management",Senior-level,Agile,2,Not Hired,Good fit for the team
2003,Chris Lee,PhD,1,"Project Management, Data Analysis, Python",PMP,"Excel, DevOps, AWS Certified",Business Analyst,"SQL, Python",Entry-level,DevOps,1,Not Hired,Good fit for the team
9995,Jane Smith,PhD,13,"Leadership, Python, Java, Project Management, Machine Learning","Six Sigma Green Belt, Certified Data Scientist","AWS Certified, Java, Data Analysis, Machine Learning",Software Engineer,"Python, Project Management, SQL, Machine Learning",Entry-level,Agile,8,Hired,Strong candidate
2734,Jane Smith,Bachelor's,8,"SQL, Data Analysis, Excel, Python",,"Big Data, PMP, Machine Learning, Excel, Data Analysis, Certified Data Scientist",Data Scientist,"SQL, Machine Learning, Java",Mid-level,DevOps,4,Hired,Excellent technical skills
9349,Michael Brown,Bachelor's,11,"Java, Machine Learning",PMP,"Excel, Big Data, Certified Data Scientist, Cloud Computing, Machine Learning",Data Scientist,"SQL, Python",Senior-level,Agile,6,Hired,Needs more experience
4331,Michael Brown,Master's,7,"Machine Learning, Leadership, Data Analysis, Excel, Java",,"Six Sigma Green Belt, Certified Data Scientist, AWS Certified",Project Manager,"Machine Learning, Project Management",Mid-level,DevOps,6,Hired,Strong candidate
2140,Sarah Johnson,Bachelor's,18,"Excel, SQL","Six Sigma Green Belt, AWS Certified","Six Sigma Green Belt, AWS Certified, DevOps, Data Analysis, Leadership, Project Management",Business Analyst,"Machine Learning, SQL, Project Management, Java",Mid-level,Big Data,8,Not Hired,Needs more experience
1476,Chris Lee,Bachelor's,11,"Machine Learning, Leadership, Python, Java, Data Analysis",Six Sigma Green Belt,"Project Management, DevOps, Certified Data Scientist, Agile, Java, Six Sigma Green Belt",Project Manager,"Java, Python, Project Management",Senior-level,Agile,2,Not Hired,Excellent technical skills
5938,Emily Davis,PhD,11,"Machine Learning, Java",,"Machine Learning, Agile, Project Management, Excel, Data Analysis, Python",Software Engineer,"Project Management, Python, SQL, Java",Senior-level,Agile,1,Not Hired,Strong candidate
4165,Chris Lee,Master's,4,"Python, SQL",,"Six Sigma Green Belt, Excel, Machine Learning, Agile",Data Scientist,"Java, Machine Learning",Entry-level,DevOps,2,Hired,Good fit for the team
7606,Emily Davis,Bachelor's,19,"Leadership, Data Analysis","AWS Certified, PMP","DevOps, PMP, AWS Certified, Project Management",Software Engineer,"Java, Python, Machine Learning, SQL",Senior-level,Cloud Computing,1,Not Hired,Excellent technical skills
4174,Jane Smith,Bachelor's,18,"SQL, Machine Learning, Python","PMP, AWS Certified","Big Data, Leadership, Cloud Computing, SQL, AWS Certified",Software Engineer,"Machine Learning, Java, Python, SQL",Senior-level,DevOps,2,Not Hired,Good fit for the team
9652,Sarah Johnson,Bachelor's,1,"Python, Machine Learning","AWS Certified, Six Sigma Green Belt","Excel, Agile, Python, Big Data, DevOps",Software Engineer,"Java, SQL",Mid-level,Agile,8,Hired,Needs more experience
3350,Sarah Johnson,Master's,19,"Python, Project Management, SQL",,"Java, Big Data, Excel, Certified Data Scientist, Agile, Cloud Computing",Business Analyst,"Project Management, Machine Learning",Mid-level,DevOps,2,Not Hired,Needs more experience
5829,Sarah Johnson,Master's,7,"Java, Machine Learning, Excel, Python","PMP, Six Sigma Green Belt","Agile, Java, Cloud Computing, Big Data",Data Scientist,"Java, Machine Learning, SQL",Senior-level,DevOps,4,Not Hired,Excellent technical skills
4514,Jane Smith,PhD,6,"SQL, Java","Certified Data Scientist, PMP","Excel, AWS Certified, Agile, PMP, Java, Data Analysis",Software Engineer,"Project Management, Machine Learning",Senior-level,Cloud Computing,3,Not Hired,Needs more experience
2284,Sarah Johnson,Bachelor's,19,"Project Management, Leadership",Six Sigma Green Belt,"Excel, Six Sigma Green Belt, Java, Machine Learning, Cloud Computing, Leadership",Project Manager,"SQL, Java, Machine Learning",Entry-level,DevOps,4,Not Hired,Strong candidate
8910,Emily Davis,Bachelor's,3,"Project Management, Excel, SQL, Python, Data Analysis","PMP, AWS Certified","Python, Excel, Project Management, Data Analysis, Six Sigma Green Belt, Machine Learning",Business Analyst,"Python, SQL",Senior-level,DevOps,7,Hired,Excellent technical skills
1968,Sarah Johnson,Master's,13,"Leadership, Java, Machine Learning, Project Management",AWS Certified,"DevOps, Python, Certified Data Scientist, Data Analysis, Cloud Computing, Excel",Software Engineer,"Project Management, SQL, Python",Entry-level,DevOps,3,Hired,Needs more experience
3469,Sarah Johnson,PhD,16,"SQL, Leadership, Java, Excel, Project Management","PMP, Six Sigma Green Belt","Data Analysis, Six Sigma Green Belt, AWS Certified, Machine Learning",Data Scientist,"Project Management, Python",Entry-level,Big Data,1,Hired,Good fit for the team
3067,Chris Lee,PhD,19,"Leadership, Data Analysis, Machine Learning, Excel, Java",PMP,"Six Sigma Green Belt, Leadership, Cloud Computing, SQL, PMP, Machine Learning",Project Manager,"Project Management, Machine Learning, Python, SQL",Entry-level,Big Data,3,Not Hired,Strong candidate
5727,Emily Davis,Bachelor's,6,"Leadership, Python",Certified Data Scientist,"Python, Agile, Data Analysis, Java, Project Management, Six Sigma Green Belt",Data Scientist,"Python, Project Management, Java, Machine Learning",Senior-level,Big Data,7,Not Hired,Good fit for the team
6335,Jane Smith,Bachelor's,15,"SQL, Leadership","Six Sigma Green Belt, Certified Data Scientist","Python, Excel, Cloud Computing",Business Analyst,"Machine Learning, Project Management, Java",Senior-level,Agile,7,Hired,Strong candidate
3238,Sarah Johnson,PhD,18,"Data Analysis, Leadership","AWS Certified, PMP","Six Sigma Green Belt, Project Management, Big Data",Business Analyst,"Java, Project Management",Mid-level,Cloud Computing,7,Not Hired,Needs more experience
8198,Chris Lee,Master's,11,"Python, Excel, Leadership",,"Certified Data Scientist, SQL, Six Sigma Green Belt, Data Analysis, Big Data",Business Analyst,"Python, Project Management",Entry-level,DevOps,2,Not Hired,Strong candidate
9644,Michael Brown,Bachelor's,10,"Java, Project Management",,"Machine Learning, Cloud Computing, Big Data",Project Manager,"SQL, Python, Machine Learning",Mid-level,Agile,9,Hired,Needs more experience
1079,Sarah Johnson,Bachelor's,16,"Excel, Data Analysis, Machine Learning","Six Sigma Green Belt, Certified Data Scientist","Certified Data Scientist, Six Sigma Green Belt, AWS Certified, Agile, PMP, Data Analysis",Project Manager,"SQL, Machine Learning, Project Management, Python",Entry-level,Cloud Computing,5,Not Hired,Good fit for the team
8784,Michael Brown,PhD,3,"SQL, Machine Learning, Project Management, Java, Leadership",PMP,"Six Sigma Green Belt, Java, Python",Project Manager,"SQL, Project Management",Entry-level,DevOps,4,Not Hired,Excellent technical skills
9679,John Doe,PhD,1,"Project Management, Java, Leadership, Machine Learning","PMP, Certified Data Scientist","Excel, Python, Cloud Computing, Leadership",Data Scientist,"Java, SQL, Project Management, Machine Learning",Mid-level,Agile,3,Not Hired,Needs more experience
7966,Emily Davis,Master's,8,"Machine Learning, Python, Excel, Project Management","AWS Certified, Six Sigma Green Belt","SQL, AWS Certified, Project Management, Excel",Data Scientist,"Python, Java",Entry-level,Big Data,4,Hired,Good fit for the team
4362,Chris Lee,PhD,7,"Java, Excel","Six Sigma Green Belt, PMP","Data Analysis, Big Data, Six Sigma Green Belt, Leadership, Java, Cloud Computing",Software Engineer,"SQL, Python, Java, Project Management",Senior-level,Big Data,3,Hired,Needs more experience
3495,Chris Lee,Master's,9,"Project Management, Machine Learning, Leadership, Excel, Java",Six Sigma Green Belt,"Agile, Cloud Computing, AWS Certified",Project Manager,"Python, SQL, Project Management, Machine Learning",Entry-level,Agile,10,Hired,Needs more experience
4582,Chris Lee,Master's,10,"Machine Learning, SQL, Leadership, Python, Java",Certified Data Scientist,"Project Management, Excel, Agile, Leadership",Project Manager,"Project Management, SQL",Senior-level,Cloud Computing,8,Hired,Needs more experience
8703,Chris Lee,Bachelor's,20,"Java, Excel, Machine Learning, Python",,"Cloud Computing, Project Management, Machine Learning, Certified Data Scientist, PMP, DevOps",Business Analyst,"SQL, Machine Learning, Python",Mid-level,Agile,5,Not Hired,Strong candidate
6278,Sarah Johnson,Master's,13,"Machine Learning, SQL, Project Management, Excel, Python",,"DevOps, Leadership, Excel, Agile",Software Engineer,"Java, SQL, Machine Learning",Senior-level,DevOps,1,Hired,Needs more experience
9043,John Doe,Bachelor's,11,"Java, Excel, Leadership","AWS Certified, Certified Data Scientist","Machine Learning, AWS Certified, Data Analysis, PMP, Certified Data Scientist, Cloud Computing",Project Manager,"Machine Learning, Python",Senior-level,DevOps,8,Not Hired,Good fit for the team
8364,Jane Smith,Master's,4,"Excel, Machine Learning, Python, Java","PMP, Certified Data Scientist","SQL, Java, Big Data",Business Analyst,"Project Management, Java, Machine Learning",Senior-level,Cloud Computing,3,Hired,Strong candidate
6792,Emily Davis,Bachelor's,8,"Java, Excel, Data Analysis, Python, Machine Learning",,"Excel, Data Analysis, Machine Learning, Leadership, Certified Data Scientist, Agile",Software Engineer,"Java, Python, Project Management",Mid-level,Cloud Computing,3,Not Hired,Needs more experience
8376,Emily Davis,Master's,20,"Excel, Data Analysis",,"Machine Learning, Python, Leadership, Agile, Project Management",Business Analyst,"SQL, Java, Project Management, Python",Entry-level,DevOps,9,Not Hired,Good fit for the team
2816,Emily Davis,Master's,13,"Project Management, Python, Excel, SQL","Certified Data Scientist, AWS Certified","Java, Machine Learning, SQL",Data Scientist,"Java, Python, Machine Learning",Entry-level,Agile,7,Not Hired,Good fit for the team
1628,Jane Smith,PhD,8,"Leadership, Excel",Six Sigma Green Belt,"Cloud Computing, AWS Certified, Python, Project Management",Software Engineer,"Java, Project Management, Python, SQL",Senior-level,DevOps,1,Hired,Strong candidate
9973,Michael Brown,Master's,12,"Machine Learning, SQL, Excel","PMP, AWS Certified","Leadership, Certified Data Scientist, SQL, Excel, DevOps",Data Scientist,"SQL, Project Management, Python, Java",Entry-level,Cloud Computing,9,Hired,Good fit for the team
8220,Emily Davis,PhD,7,"Machine Learning, Java, Project Management, Python",,"Leadership, PMP, Excel, Cloud Computing",Software Engineer,"Machine Learning, Java, Project Management",Senior-level,Agile,8,Hired,Needs more experience
5947,John Doe,Bachelor's,8,"Excel, Java, Machine Learning",,"Data Analysis, Excel, Python",Project Manager,"SQL, Project Management, Java",Mid-level,Big Data,5,Not Hired,Good fit for the team
7535,Michael Brown,Bachelor's,20,"Excel, Data Analysis","Certified Data Scientist, AWS Certified","Certified Data Scientist, SQL, Project Management, Leadership, Big Data",Business Analyst,"Project Management, Machine Learning",Mid-level,Big Data,6,Not Hired,Needs more experience
9290,John Doe,Master's,1,"Leadership, SQL, Python, Machine Learning","Certified Data Scientist, AWS Certified","Cloud Computing, Agile, PMP, SQL, DevOps",Data Scientist,"Machine Learning, Java, SQL, Python",Senior-level,Cloud Computing,7,Not Hired,Excellent technical skills
9948,Emily Davis,Master's,15,"Leadership, Excel, Data Analysis",,"Agile, Certified Data Scientist, Java",Data Scientist,"Python, Machine Learning",Mid-level,Cloud Computing,6,Hired,Strong candidate
9735,Chris Lee,Master's,11,"Project Management, Java, SQL, Data Analysis, Machine Learning","AWS Certified, Certified Data Scientist","SQL, Big Data, Cloud Computing, Machine Learning",Data Scientist,"Python, Project Management, SQL, Machine Learning",Mid-level,DevOps,5,Hired,Excellent technical skills
9105,Sarah Johnson,Bachelor's,12,"Python, Data Analysis, Excel",,"Data Analysis, Six Sigma Green Belt, SQL, AWS Certified",Project Manager,"Java, Python, SQL",Mid-level,Cloud Computing,7,Hired,Excellent technical skills
4696,Emily Davis,Master's,12,"Data Analysis, Python, Java, Project Management",,"DevOps, Certified Data Scientist, Java, Project Management, Machine Learning, Data Analysis",Project Manager,"Machine Learning, Java, SQL",Mid-level,DevOps,2,Not Hired,Strong candidate
6220,Sarah Johnson,Master's,5,"SQL, Data Analysis","Certified Data Scientist, AWS Certified","Java, Leadership, AWS Certified, Certified Data Scientist",Project Manager,"Project Management, Machine Learning, Java",Senior-level,DevOps,10,Not Hired,Strong candidate
9032,John Doe,PhD,1,"Python, SQL, Leadership","Six Sigma Green Belt, AWS Certified","Big Data, DevOps, Six Sigma Green Belt, Project Management, Cloud Computing, Machine Learning",Project Manager,"Project Management, SQL, Python",Mid-level,DevOps,1,Not Hired,Excellent technical skills
3651,Emily Davis,PhD,8,"Project Management, Python","Six Sigma Green Belt, AWS Certified","Big Data, Java, Excel, AWS Certified, Project Management, Python",Business Analyst,"Project Management, SQL, Python, Machine Learning",Entry-level,DevOps,2,Not Hired,Needs more experience
7788,Jane Smith,Bachelor's,18,"Data Analysis, Project Management, SQL, Leadership","PMP, AWS Certified","Java, Machine Learning, Agile, Cloud Computing, AWS Certified, Project Management",Software Engineer,"Machine Learning, SQL, Python, Project Management",Senior-level,Agile,6,Hired,Excellent technical skills
3994,Sarah Johnson,Master's,5,"Java, SQL, Python, Leadership",Six Sigma Green Belt,"Big Data, Certified Data Scientist, PMP, DevOps",Project Manager,"Project Management, SQL",Entry-level,DevOps,4,Hired,Strong candidate
8695,Jane Smith,Bachelor's,2,"Machine Learning, Project Management","Six Sigma Green Belt, PMP","PMP, Python, Machine Learning, Six Sigma Green Belt, Java",Software Engineer,"SQL, Machine Learning, Project Management, Java",Senior-level,Agile,7,Not Hired,Good fit for the team
2379,Chris Lee,Bachelor's,15,"Excel, Leadership, Python",,"Big Data, AWS Certified, Python, Excel",Software Engineer,"SQL, Project Management, Python, Machine Learning",Mid-level,Cloud Computing,4,Not Hired,Strong candidate
3480,Chris Lee,Master's,2,"Leadership, Excel, Project Management",,"Big Data, Machine Learning, Agile, Cloud Computing, Leadership",Project Manager,"Python, Machine Learning",Mid-level,DevOps,5,Not Hired,Excellent technical skills
9290,Sarah Johnson,PhD,6,"Java, SQL","PMP, Certified Data Scientist","Excel, SQL, Six Sigma Green Belt, Project Management",Data Scientist,"SQL, Project Management",Senior-level,Cloud Computing,10,Hired,Excellent technical skills
3506,Jane Smith,PhD,7,"Data Analysis, SQL, Excel","Certified Data Scientist, AWS Certified","PMP, Python, DevOps, AWS Certified, SQL, Machine Learning",Software Engineer,"Project Management, Machine Learning",Mid-level,Agile,9,Hired,Strong candidate
4354,Emily Davis,PhD,19,"Excel, SQL, Java, Data Analysis",,"Project Management, SQL, Data Analysis, AWS Certified, DevOps",Project Manager,"Java, SQL",Mid-level,Cloud Computing,5,Not Hired,Good fit for the team
7481,Chris Lee,PhD,13,"Java, Excel, Data Analysis, Python",PMP,"DevOps, Machine Learning, Agile, Big Data, Java, Cloud Computing",Project Manager,"Java, Python",Entry-level,DevOps,5,Not Hired,Needs more experience
7986,Chris Lee,Bachelor's,4,"Excel, Leadership","AWS Certified, Certified Data Scientist","Six Sigma Green Belt, Python, Big Data, Leadership, Cloud Computing, SQL",Software Engineer,"Python, Project Management, Machine Learning",Senior-level,Agile,8,Hired,Good fit for the team
8918,Chris Lee,Bachelor's,13,"Data Analysis, SQL, Excel",,"Big Data, SQL, Java, Six Sigma Green Belt, Machine Learning, PMP",Project Manager,"SQL, Python",Mid-level,Agile,2,Not Hired,Good fit for the team
2561,Jane Smith,Master's,6,"Machine Learning, Data Analysis, Project Management, SQL, Python",AWS Certified,"Cloud Computing, Agile, Data Analysis, Excel",Business Analyst,"Machine Learning, Project Management, Python",Entry-level,Agile,8,Not Hired,Good fit for the team
7690,Chris Lee,Bachelor's,7,"Excel, Project Management, Data Analysis, SQL, Leadership",Six Sigma Green Belt,"Big Data, Project Management, Java, Excel",Project Manager,"Machine Learning, Java, SQL",Senior-level,DevOps,7,Not Hired,Needs more experience
7486,Michael Brown,PhD,10,"Leadership, SQL, Python",,"SQL, AWS Certified, PMP, Excel, Certified Data Scientist",Data Scientist,"Java, Project Management, Machine Learning, SQL",Entry-level,Cloud Computing,1,Hired,Needs more experience
6119,Sarah Johnson,Master's,8,"Machine Learning, Python, SQL",PMP,"Agile, AWS Certified, Java, Six Sigma Green Belt, Project Management, PMP",Project Manager,"Java, SQL, Project Management",Senior-level,Agile,1,Not Hired,Needs more experience
6838,Jane Smith,Master's,15,"Project Management, Excel, Python, SQL, Data Analysis",PMP,"Six Sigma Green Belt, Cloud Computing, DevOps",Business Analyst,"Machine Learning, Java, Python, Project Management",Mid-level,DevOps,6,Hired,Needs more experience
2522,Emily Davis,Bachelor's,4,"Project Management, Data Analysis, Machine Learning",AWS Certified,"Java, DevOps, Six Sigma Green Belt, SQL, Cloud Computing",Business Analyst,"SQL, Java",Mid-level,DevOps,4,Hired,Needs more experience
5737,John Doe,Bachelor's,15,"Machine Learning, Leadership, Data Analysis, Java, Excel",,"Agile, Java, Excel, SQL, Cloud Computing, Project Management",Business Analyst,"Python, Machine Learning",Senior-level,Big Data,2,Hired,Strong candidate
6159,Jane Smith,Bachelor's,15,"SQL, Machine Learning, Leadership, Data Analysis, Project Management",Six Sigma Green Belt,"DevOps, Excel, Data Analysis, Java, AWS Certified",Data Scientist,"Project Management, SQL, Java, Python",Mid-level,DevOps,2,Hired,Strong candidate
